FIPS,county_clean,State,married.slope_2022,unmarried.slope_2022,household_volatility,E_POV150,E_UNINSUR,E_CROWD,E_NOVEH,E_MINRTY,E_AGE65,healthcare_vulnerability,disease_risk_score,covid_cases,covid_cases_per_100k
46095,"mellette, south dakota",SD,-56.8464285714286,94.5922456319386,151.4386742033672,1113,750,72,83,1274,319,822,553.7754696813469,666,32251.8159806295
17129,"menard, illinois",IL,-71.6,-95.1466871364028,166.74668713640278,1702,292,32,216,559,2393,324,261.0986748545611,4407,35943.2346464399
48327,"menard, texas",TX,-56.8464285714286,15.2714285714286,72.1178571428572,428,637,11,82,826,714,648,417.6471428571429,666,31593.9278937381
06045,"mendocino, california",CA,-56.8464285714286,280.066562905908,336.91299147733656,22787,8044,1864,2385,31263,19234,9908,6079.565196590935,17092,19621.1686373551
21165,"menifee, kentucky",KY,-308.849782817066,94.5922456319386,403.4420284490046,2173,388,46,136,312,1377,434,421.77681137960184,2364,36577.4408169581
26109,"menominee, michigan",MI,-142.342857142857,-35.8856819650973,178.2285391079543,4687,1088,123,880,1629,5607,1211,797.8914156431817,7346,32075.8012400664
55078,"menominee, wisconsin",WI,-44.2035714285714,-37.2279411764703,81.4315126050417,1580,1156,185,150,4130,601,1341,837.1726050420167,2446,53569.8642137538
06047,"merced, california",CA,-56.8464285714286,449.789285714286,506.6357142857146,84828,21609,6941,5792,200074,30765,28550,17332.654285714285,78697,28757.1119012209
17131,"mercer, illinois",IL,101.798545572085,-151.163577646017,252.962123218102,2854,535,44,317,795,3325,579,448.5848492872408,4821,31097.2069921951
21167,"mercer, kentucky",KY,375.681431803489,72.2535714285714,447.93500323206035,4667,1401,85,486,2012,4097,1486,1070.774001292824,9449,43563.8543107423
29129,"mercer, missouri",MO,-70.2727537168757,94.5922456319386,164.8649993488143,888,503,27,59,222,786,530,383.94599973952575,912,25172.5089704665
34021,"mercer, new jersey",NJ,-56.8464285714286,1246.90004848107,1303.7464770524984,60089,25605,3051,14436,188448,56354,28656,17715.098590821,109219,29672.2224486192
38057,"mercer, north dakota",ND,-56.8464285714286,84.4508691672236,141.29729773865222,1342,1113,87,89,726,1612,1200,776.5189190954609,3080,36846.5127407585
39107,"mercer, ohio",OH,345.165368455113,141.775,486.940368455113,5518,1497,236,510,1999,7254,1733,1234.5761473820453,11600,28269.240142321
42085,"mercer, pennsylvania",PA,-837.003571428571,176.892857142857,1013.896428571428,23747,5916,567,4878,11175,23997,6483,4295.358571428571,28799,26057.96288421
54055,"mercer, west virginia",WV,-427.753571428571,94.5922456319386,522.3458170605096,20040,3508,323,2193,6067,13100,3831,2507.538326824204,23292,39231.9353208691
13199,"meriwether, georgia",GA,-186.571428571429,-62.9176342282444,249.4890627996734,6834,2830,99,820,9181,4299,2929,1857.1956251198692,4048,19203.0360531309
31121,"merrick, nebraska",NE,49.1008888170727,-20.2521008403382,69.3529896574109,1573,601,74,192,635,1644,675,432.74119586296433,1703,21760.7973421927
33013,"merrimack, new hampshire",NH,414.385714285714,156.796428571429,571.182142857143,16989,8477,965,3245,12178,27616,9442,5893.672857142857,36676,24304.5155133795
08077,"mesa, colorado",CO,-56.8464285714286,554.610714285714,611.4571428571427,33664,14312,1381,3140,29178,29352,15693,9660.382857142857,52710,34459.5389704633
21169,"metcalfe, kentucky",KY,-55.5934873949664,93.8367623761296,149.430249771096,3547,494,120,170,528,1875,614,428.1720999084384,3720,36970.7811568277
18103,"miami, indiana",IN,-196.553571428571,94.5922456319386,291.14581706050956,8465,2836,121,780,4150,6202,2957,1890.6583268242039,9261,25952.807981168
20121,"miami, kansas",KS,-56.8464285714286,101.171428571429,158.01785714285762,3982,1925,127,438,2625,5821,2052,1294.407142857143,9377,27791.9383521043
39109,"miami, ohio",OH,1719.76774402073,250.392857142857,1970.1606011635872,16627,5400,331,1874,8496,19823,5731,4226.664240465435,32348,30495.6916869355
12086,"miami-dade, florida",FL,7831.13214285714,4134.4,11965.53214285714,740838,433554,56832,90752,2339622,440203,490386,299017.8128571428,1560492,57677.9098201904
25017,"middlesex, massachusetts",MA,6289.60357142857,3676.87142857143,9966.475,177046,41461,11054,64294,465751,245533,52515,35495.59,442620,27562.1318650799
34023,"middlesex, new jersey",NJ,2785.02142857143,2587.57183257921,5372.59326115064,107726,55796,12555,23492,478756,124295,68351,43159.63730446025,271261,32879.5234026048
51119,"middlesex, virginia",VA,-75.2571428571429,72.9071428571429,148.1642857142858,1767,850,69,185,2371,3412,919,610.6657142857143,2565,24102.6122909228
26111,"midland, michigan",MI,-196.146428571429,107.407142857143,303.553571428572,14800,3304,475,2072,7528,15430,3779,2388.821428571429,23852,28584.0973096051
48329,"midland, texas",TX,2096.74285714286,730.575,2827.31785714286,25498,28475,3725,2008,95115,17527,32200,20450.927142857145,48762,28476.1559934127
42087,"mifflin, pennsylvania",PA,-56.8464285714286,94.5922456319386,151.4386742033672,10822,5596,300,1799,2053,9992,5896,3598.175469681347,15330,33196.9076853115
48331,"milam, texas",TX,444.523093083437,94.5922456319386,539.1153387153756,6589,3804,392,310,9461,5153,4196,2733.2461354861503,6221,25087.7122232528
49027,"millard, utah",UT,-190.386571750045,64.6848483625799,255.07142011262488,2927,1424,78,153,2180,2191,1502,1003.2285680450499,3274,25256.499267145
27095,"mille lacs, minnesota",MN,134.907336780874,124.215659340654,259.122996121528,4922,1400,225,655,2963,4722,1625,1078.6491984486113,7586,29218.5032546316
05091,"miller, arkansas",AR,-362.028910795096,94.5922456319386,456.62115642703463,13162,3760,624,1371,13955,7197,4384,2813.048462570814,11636,26740.2045271745
13201,"miller, georgia",GA,-135.081394474953,15.3321428571429,150.4135373320959,1848,876,152,351,1856,1259,1028,676.9654149328383,1486,25956.3318777293
29131,"miller, missouri",MO,-56.8464285714286,202.004831932769,258.8512605041976,5892,2920,254,381,1331,4800,3174,2007.940504201679,7141,28148.5277306949
19129,"mills, iowa",IA,-74.1357142857143,42.4785714285714,116.6142857142857,1959,474,98,205,908,2832,572,389.8457142857143,3971,26432.8030353458
48333,"mills, texas",TX,-86.5032482223723,94.5922456319386,181.09549385431092,986,971,13,28,1216,1433,984,662.8381975417243,1518,31125.6920237851
55079,"milwaukee, wisconsin",WI,-2497.93214285714,1900.23214285714,4398.16428571428,263250,67755,9861,50511,471818,129110,77616,48328.86571428571,347383,36598.2216228745
46097,"miner, south dakota",SD,-63.9752512425184,33.9086071373895,97.8838583799079,397,126,14,31,109,461,140,123.15354335196317,543,24536.8278355174
08079,"mineral, colorado",CO,-41.7798116765916,19.5205881916918,61.3003998682834,149,129,0,11,150,172,129,101.92015994731335,241,28253.223915592
30061,"mineral, montana",MT,144.891580478354,14.830686647445,159.722267125799,1288,350,35,65,366,1230,385,294.8889068503196,1394,32193.9953810624
32021,"mineral, nevada",NV,-59.2678571428571,94.5922456319386,153.8601027747957,1706,428,41,96,1729,1348,469,342.94404110991826,1484,33073.3229329173
54057,"mineral, west virginia",WV,263.450290885579,126.716241925955,390.166532811534,5580,1478,26,734,1778,5876,1504,1058.4666131246136,10196,37697.3416645099
54059,"mingo, west virginia",WV,-255.107142857143,-68.2428571428571,323.35000000000014,9482,1730,121,1178,1002,4507,1851,1239.94,9976,41901.8817204301
16067,"minidoka, idaho",ID,454.859460309148,59.7142857142857,514.5737460234337,5373,3839,338,259,7961,3302,4177,2712.0294984093734,4866,23375.1260988615
46099,"minnehaha, south dakota",SD,1267.86428571429,864.060714285714,2131.925000000004,31621,14631,1710,3890,35283,25093,16341,10657.370000000003,65998,34430.9846516626
26113,"missaukee, michigan",MI,111.708823529421,-7.34741435035721,119.05623787977821,3521,1200,217,223,987,3117,1417,897.8224951519112,3629,24072.9684908789
05093,"mississippi, arkansas",AR,-373.525,-297.83360978961,671.35860978961,13635,3064,679,1552,17490,6089,3743,2514.3434439158436,16442,39718.8134119239
29133,"mississippi, missouri",MO,-117.828571428571,-52.8785714285714,170.7071428571424,4853,1308,40,789,3938,2450,1348,877.0828571428569,4465,33500.9003601441
30063,"missoula, montana",MT,519.867857142857,418.9,938.767857142857,24765,7657,836,2685,14124,18483,8493,5471.307142857143,34418,28907.6279585426
13205,"mitchell, georgia",GA,-254.414285714286,94.5922456319386,349.0065313462246,8373,3959,210,1171,11978,3724,4169,2641.0026125384898,3425,15517.3976078289
19131,"mitchell, iowa",IA,-57.625,5.98209437621244,63.60709437621244,1761,697,18,217,349,2275,715,454.44283775048495,2794,26388.3641858708
20123,"mitchell, kansas",KS,-64.8857142857143,-141.653533052653,206.5392473383673,1214,430,29,97,308,1412,459,358.0156989353469,1735,28663.472658186
